ID,PIDM,PAM,PAV,SUM,PAM2,PAV2,SUM2,PAA_OP,GPA,Eficiencia_Terminal,Nivel_colegiatura_prepa
354787,328689,710,622,1332,0,0,0,1,82.11,0,Alto
355114,329016,686,581,1267,0,0,0,1,95.74,1,Prepa UDEM
355637,329540,689,607,1296,0,0,0,1,93.43,1,Prepa UDEM
355781,329684,710,654,1364,0,0,0,1,85.45,1,Alto
355830,329734,653,602,1255,597,521,1118,2,88.93,1,Prepa UDEM
355912,329822,616,550,1166,584,477,1061,2,82,1,Bajo
355945,329855,616,654,1270,0,0,0,1,84.04,1,Prepa UDEM
355945,329855,616,654,1270,0,0,0,1,84.04,1,Prepa UDEM
355945,329855,616,654,1270,0,0,0,1,84.04,1,Prepa UDEM
355948,329858,632,581,1213,0,0,0,1,90.7,1,Prepa UDEM
355991,329904,708,602,1310,0,0,0,1,89.48,0,Prepa UDEM
356001,329914,697,497,1194,0,0,0,1,88.36,1,Prepa UDEM
356051,329965,584,539,1123,0,0,0,1,87.26,1,Prepa UDEM
356157,330071,610,687,1297,599,624,1223,2,88.23,1,Prepa UDEM
356216,330132,626,602,1228,542,539,1081,2,85,1,Medio
356218,330134,699,597,1296,0,0,0,1,84,1,Medio
356607,330529,718,655,1373,0,0,0,1,93.43,1,Prepa UDEM
356978,330902,731,664,1395,0,0,0,1,91.79,1,Prepa UDEM
357353,331318,679,575,1254,0,0,0,1,93.61,1,Prepa UDEM
357385,331350,686,771,1457,0,0,0,1,82.59,0,Prepa UDEM
357421,331386,637,508,1145,521,487,1008,2,78.6,0,Medio
357438,331403,740,739,1479,0,0,0,1,85.78,1,Prepa UDEM
357447,331412,709,736,1445,0,0,0,1,89.57,0,Prepa UDEM
357448,331413,512,497,1009,0,0,0,1,83,1,Medio
357516,331482,642,508,1150,0,0,0,1,79.28,1,Prepa UDEM
357660,331626,721,726,1447,0,0,0,1,83.02,1,Prepa UDEM
357661,331627,658,629,1287,658,629,1287,2,89.63,0,Prepa UDEM
357665,331631,740,575,1315,0,0,0,1,83.89,1,Prepa UDEM
357703,331669,608,475,1083,0,0,0,1,79.8,1,Prepa UDEM
357709,331675,632,571,1203,523,539,1062,2,86,1,Alto
357709,331675,632,571,1203,523,539,1043,2,86,1,Alto
357709,331675,632,571,1203,523,539,967,2,86,1,Alto
357709,331675,632,571,1203,523,487,1062,2,86,1,Alto
357709,331675,632,571,1203,523,487,1043,2,86,1,Alto
357709,331675,632,571,1203,523,487,967,2,86,1,Alto
357709,331675,632,571,1203,523,446,1062,2,86,1,Alto
357709,331675,632,571,1203,523,446,1043,2,86,1,Alto
357709,331675,632,571,1203,523,446,967,2,86,1,Alto
357709,331675,632,571,1203,556,539,1062,2,86,1,Alto
357709,331675,632,571,1203,556,539,1043,2,86,1,Alto
357709,331675,632,571,1203,556,539,967,2,86,1,Alto
357709,331675,632,571,1203,556,487,1062,2,86,1,Alto
357709,331675,632,571,1203,556,487,1043,2,86,1,Alto
357709,331675,632,571,1203,556,487,967,2,86,1,Alto
357709,331675,632,571,1203,556,446,1062,2,86,1,Alto
357709,331675,632,571,1203,556,446,1043,2,86,1,Alto
357709,331675,632,571,1203,556,446,967,2,86,1,Alto
357709,331675,632,571,1203,521,539,1062,2,86,1,Alto
357709,331675,632,571,1203,521,539,1043,2,86,1,Alto
357709,331675,632,571,1203,521,539,967,2,86,1,Alto
357709,331675,632,571,1203,521,487,1062,2,86,1,Alto
357709,331675,632,571,1203,521,487,1043,2,86,1,Alto
357709,331675,632,571,1203,521,487,967,2,86,1,Alto
357709,331675,632,571,1203,521,446,1062,2,86,1,Alto
357709,331675,632,571,1203,521,446,1043,2,86,1,Alto
357709,331675,632,571,1203,521,446,967,2,86,1,Alto
357715,331681,679,622,1301,0,0,0,1,81.17,1,Prepa UDEM
357813,331780,658,550,1208,0,0,0,1,87.24,1,Prepa UDEM
